page	goal	happy_path	success_evidence	failure_boundary	upstream_evidence
frameworks/overview.mdx	第一次接入先选 LangGraph 或 LangChain。Server inference 和 Pydantic AI Preview adapter 需要时再读。	能力矩阵 → 执行流程 → Scope、token 与 transport 规则 → 完成检查	最小用法：先选择边界; 当前不支持或未验证; 完成检查	四种边界，不是一套封装; 最小用法：先选择边界; 失败、隐私与信任边界; 当前不支持或未验证	integrations/{langgraph,langchain,pydantic-ai}; tests/{langgraph_adapter,langchain_middleware,pydantic_ai_adapter}; tests/e2e
frameworks/pydantic-ai-server-inference.mdx	配置 Server 相互独立的 generation 与 embedding provider，并理解其生命周期和失败边界。	选择四种 runtime 状态之一 → 直接使用 structured generator → 跟踪 execution flow → 理解 search 与 write failure → 准确解读 readiness → 完成检查	当前不支持或尚未验证; 完成检查	设定 privacy 与 Scope 边界; 当前不支持或尚未验证	integrations/{langgraph,langchain,pydantic-ai}; tests/{langgraph_adapter,langchain_middleware,pydantic_ai_adapter}; tests/e2e
frameworks/pydantic-ai.mdx	查看 future-facing Capability 与 Toolset API；当前 PyPI 和 Git subdirectory 安装都不可用。	选择 integration surface → 跟踪一次 bound run → 理解三个工具 → 每个 run 只解析一次 Scope → 决定 capture 可以发送什么 → 区分 automatic 与 explicit failure → Adapter 不可用时使用 MCP → 完成检查	当前不支持或尚未验证; 完成检查	安全配置 transport; 当前不支持或尚未验证	integrations/{langgraph,langchain,pydantic-ai}; tests/{langgraph_adapter,langchain_middleware,pydantic_ai_adapter}; tests/e2e
frameworks/tricks.mdx	用可修复的失败案例测试 Scope、临时 recall、UTF-8 预算和 capture-to-Memory 边界。	最小测试 harness → 待测试的执行流程 → 1. Scope：不要让 cwd 选择 tenant → 2. Token 与 transport：credential 不能进入 model-visible data → 3. Untrusted evidence：旧文本不能授权当前动作 → 4. History pollution：recall 属于当前 request，不属于 storage → 5. Fresh preparation：按 framework lifecycle 处理 → 6. UTF-8 预算：query characters 与 context bytes 分开 → 7. Capture without flush：Source 不是 Memory → 完成检查	当前不支持或未验证; 完成检查	8. 失败语义：只有 automatic helper 才 fail-open; 9. 失败与隐私实验; 当前不支持或未验证	integrations/{langgraph,langchain,pydantic-ai}; tests/{langgraph_adapter,langchain_middleware,pydantic_ai_adapter}; tests/e2e
mental-model/experience-and-skill.mdx	Experience 和 managed Skill 先作为 Candidate 进入 Review；批准、导出和执行是不同步骤。	Experience 与 Skill 的区别 → 共同的 Candidate lifecycle → Propose 与 generate → Candidate version 不是 Artifact Revision → Approval 是一笔事务 → Experience 怎样进入召回 → Skill 的 provenance → Approval、export、execution → 两种发布 surface → Managed、external 和 bundled Skill → 用 OpenAPI 案例走完生命周期 → 常见错误 → 检查清单	检查清单		src/powercontext/domain; src/powercontext/application; openapi/powercontext.yaml; tests/test_api_contract.py
mental-model/fail-open.mdx	自动上下文增强失败时继续原任务；显式持久操作失败时明确报错。	PreparedContext 是一次请求的临时值 → 哪些路径可以 fail-open → 一次对照实验 → `degraded` 不等于 `not_ready` → 诊断应告诉你什么 → 判断规则		哪些操作必须明确失败; 安全边界仍然 fail-closed	src/powercontext/domain; src/powercontext/application; openapi/powercontext.yaml; tests/test_api_contract.py
mental-model/handoff.mdx	Handoff 把当前工作整理成可检查的交接包；commit 只在需要持久里程碑时发生。	先选 Memory 还是 Handoff → 两层 API → Prepared Handoff 先于 commit → Commit 保存里程碑 → Continue 有三种选择 → Acknowledgement 绑定精确目标 → Task Outcome 关闭工作循环 → Handoff Report 是投影 → 用 OpenAPI 案例走一遍 → 检查清单	Acknowledgement 绑定精确目标; 检查清单	失败不会总是原子回滚	src/powercontext/domain; src/powercontext/application; openapi/powercontext.yaml; tests/test_api_contract.py
mental-model/memory.mdx	Memory 保存经过选择的长期项目知识，并用不可变 Revision 和 entry version 保留历史。	什么应该进入 Memory → Memory 不是一行可覆盖文本 → Manifest 决定当前状态 → 两种写入路径 → 修订和停用 → Search 如何工作 → PreparedContext 不是 search response 的复制 → 用 OpenAPI 案例推演 → 容易误判的情况 → 检查清单	检查清单		src/powercontext/domain; src/powercontext/application; openapi/powercontext.yaml; tests/test_api_contract.py
mental-model/overview.mdx	分清 PowerContext 中的证据、长期资产、临时上下文和工作交接。	先看三条路径 → 六种值，不要混用 → 一个贯穿本站的例子		三条边界	src/powercontext/domain; src/powercontext/application; openapi/powercontext.yaml; tests/test_api_contract.py
mental-model/scope.mdx	Scope 选择一组相互隔离的数据。它不是身份、鉴权或工具授权。	Scope 隔离什么 → Scope 不做什么 → 选择稳定的 Scope → 没有统一的自动推导顺序 → 跨宿主共享 → Server 内的 ScopeCache → 常见故障 → 检查清单	检查清单		src/powercontext/domain; src/powercontext/application; openapi/powercontext.yaml; tests/test_api_contract.py
mental-model/source.mdx	Source 保存可定位的工作证据。journal position、处理 cursor 和 Memory 是后续的不同层。	稳定身份 → Captured 与 referenced → 一条 Scope 内共用一条 journal → Trigger 决定处理窗口 → Cursor 记录消费进度 → Capture 不会自动产生 Memory → 幂等和冲突 → Source 可以引用什么 → 用 OpenAPI 案例推演 → 排查顺序 → 检查清单	检查清单		src/powercontext/domain; src/powercontext/application; openapi/powercontext.yaml; tests/test_api_contract.py
start/index.mdx	从心智模型到 Agent 集成，沿一条可运行的路径学习 PowerContext。	30 秒看懂 PowerContext → 按你的目标继续	按你的目标继续		docs/{en,zh}/docs; src/powercontext/cli; tests/test_server.py; integration-focused tests
start/learning-path.mdx	先建立最小心智模型，再按你的框架或宿主完成一条可验证的路径。	按工作目标选择 → 先完成这个检查	按工作目标选择; 先完成这个检查		docs/{en,zh}/docs; src/powercontext/cli; tests/test_server.py; integration-focused tests
start/troubleshooting.mdx	按已经写过的症状一条条对照，先回到原页，不要把 401、空 Dashboard 或 capture 当成另一套故障。				docs/{en,zh}/docs; src/powercontext/cli; tests/test_server.py; integration-focused tests
